Run:,08/09/12 @ 16:02,"MIAMI UNIVERSITY - OXFORD, OHIO ",Page: 1,,,,,,,,,,,,,,,,,,,
Program: SZRGRDT.SQR,Grade Distribution by Campus and by Department,Sections of 10,,,,,,,,,,,,,,,,,,,,
Office of the Registrar,"First Semester, 2002-03",,,,,,,,,,,,,,,,,,,,,
Oxford Campus,,,,,,,,,,,,,,,,,,,,,,
Miami Plan,Honors,Cross Listing,,,,,,,,,,,,,,,,,,,,
ACC Accountancy,,,,,,,,,,,,,,,,,,,,,,
ACC 221   A  Ames Roger D.     Intro To Financial Accounting,N,N,,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,5,0,0,22,0,0,9,0,0,2,0,1,0,0,0,0,0,0,0,0,2.72
%,0,12.8,0,0,56.4,0,0,23.1,0,0,5.1,0,2.6,0,0,0,0,0,0,0,0,
ACC 221   B  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,0,3,8,4,6,5,6,4,4,1,0,1,4,15,0,0,0,0,0,0,2.43
%,0,0,4.9,13.1,6.6,9.8,8.2,9.8,6.6,6.6,1.6,0,1.6,6.6,24.6,0,0,0,0,0,0,
ACC 221   C  Shaheen David K.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,3,4,6,5,5,3,3,3,2,1,1,0,3,1,0,0,0,0,0,2.34
%,0,2.4,7.3,9.8,14.6,12.2,12.2,7.3,7.3,7.3,4.9,2.4,2.4,0,7.3,2.4,0,0,0,0,0,
ACC 221   D  Shaheen David K.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,1,5,2,8,7,7,3,0,3,1,2,0,2,1,0,0,0,0,0,0,2.57
%,0,2.4,11.9,4.8,19,16.7,16.7,7.1,0,7.1,2.4,4.8,0,4.8,2.4,0,0,0,0,0,0,
ACC 221   E  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,2,3,10,3,11,9,9,2,2,0,0,0,4,12,0,0,0,0,0,0,2.66
%,0,3,4.5,14.9,4.5,16.4,13.4,13.4,3,3,0,0,0,6,17.9,0,0,0,0,0,0,
ACC 221   F  Gormley Scot P.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
 ,0,3,4,8,7,2,11,7,4,0,2,0,2,2,6,0,0,1,0,0,0,2.55
%,0,5.1,6.8,13.6,11.9,3.4,18.6,11.9,6.8,0,3.4,0,3.4,3.4,10.2,0,0,1.7,0,0,0,
ACC 221   G  Shaheen David K.     Intro To Financial Accounting,N,N, ,,,,,,,,,,,,,,,,,,,
A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,WP,WF,I,X,Y,P,S,Avg GPA,
